host_time,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta
1788558341.0565057,ENC,1767610,0,,0,0
1788558341.0764587,ENC,1767630,0,,0,0
1788558341.0963504,ENC,1767650,0,,0,0
1788558341.116131,ENC,1767670,0,,0,0
1788558341.1359942,ENC,1767690,0,,0,0
1788558341.155863,ENC,1767710,0,,0,0
1788558341.1757672,ENC,1767730,0,,0,0
1788558341.1956508,ENC,1767750,0,,0,0
1788558341.2155104,ENC,1767770,0,,0,0
1788558341.2353814,ENC,1767790,0,,0,0
1788558341.2552876,ENC,1767810,0,,0,0
1788558341.275153,ENC,1767830,0,,0,0
1788558341.2950234,ENC,1767850,0,,0,0
1788558341.3149304,ENC,1767870,0,,0,0
1788558341.334859,ENC,1767890,0,,0,0
1788558341.3546607,ENC,1767910,0,,0,0
1788558341.3745682,ENC,1767930,0,,0,0
1788558341.3944924,ENC,1767950,0,,0,0
1788558341.4142954,ENC,1767970,0,,0,0
1788558341.4341931,ENC,1767990,0,,0,0
1788558341.454067,ENC,1768010,0,,0,0
1788558341.4739192,ENC,1768030,0,,0,0
1788558341.4938014,ENC,1768050,0,,0,0
1788558341.5137007,ENC,1768070,0,,0,0
1788558341.5335598,ENC,1768090,0,,0,0
1788558341.5534403,ENC,1768110,0,,0,0
1788558341.5733328,ENC,1768130,0,,0,0
1788558341.593208,ENC,1768150,0,,0,0
1788558341.6130722,ENC,1768170,0,,0,0
1788558341.633031,ENC,1768190,0,,0,0
1788558341.6528404,ENC,1768210,0,,0,0
1788558341.6726897,ENC,1768230,0,,0,0
1788558341.6926239,ENC,1768250,0,,0,0
1788558341.712516,ENC,1768270,0,,0,0
1788558341.7323987,ENC,1768290,0,,0,0
1788558341.752237,ENC,1768310,0,,0,0
1788558341.7721179,ENC,1768330,0,,0,0
1788558341.7920232,ENC,1768350,0,,0,0
1788558341.8118312,ENC,1768370,0,,0,0
1788558341.831739,ENC,1768390,0,,0,0
1788558341.8515978,ENC,1768410,0,,0,0
1788558341.871453,ENC,1768430,0,,0,0
1788558341.8913498,ENC,1768450,0,,0,0
1788558341.9112182,ENC,1768470,0,,0,0
1788558341.9310648,ENC,1768490,0,,0,0
1788558341.951041,ENC,1768510,0,,0,0
1788558341.9708457,ENC,1768530,0,,0,0
1788558341.9907324,ENC,1768550,0,,0,0
1788558342.0105844,ENC,1768570,0,,0,0
1788558342.0304651,ENC,1768590,0,,0,0
1788558342.050333,ENC,1768610,0,,0,0
1788558342.0702286,ENC,1768630,0,,0,0
1788558342.0900698,ENC,1768650,0,,0,0
1788558342.1099834,ENC,1768670,0,,0,0
1788558342.1298585,ENC,1768690,0,,0,0
1788558342.1496985,ENC,1768710,0,,0,0
1788558342.1696284,ENC,1768730,0,,0,0
1788558342.1894968,ENC,1768750,0,,0,0
1788558342.2093437,ENC,1768770,0,,0,0
1788558342.2292204,ENC,1768790,0,,0,0
1788558342.2491364,ENC,1768810,0,,0,0
1788558342.2689798,ENC,1768830,0,,0,0
1788558342.2888696,ENC,1768850,0,,0,0
1788558342.3087602,ENC,1768870,0,,0,0
1788558342.3286188,ENC,1768890,0,,0,0
1788558342.3484893,ENC,1768910,0,,0,0
1788558342.3683548,ENC,1768930,0,,0,0
1788558342.3882558,ENC,1768950,0,,0,0
1788558342.4080935,ENC,1768970,0,,0,0
1788558342.42801,ENC,1768990,0,,0,0
1788558342.447881,ENC,1769010,0,,0,0
1788558342.467713,ENC,1769030,0,,0,0
1788558342.487613,ENC,1769050,0,,0,0
1788558342.50748,ENC,1769070,0,,0,0
1788558342.5273635,ENC,1769090,0,,0,0
1788558342.5472295,ENC,1769110,0,,0,0
1788558342.567181,ENC,1769130,0,,0,0
1788558342.5869565,ENC,1769150,0,,0,0
1788558342.6068022,ENC,1769170,0,,0,0
1788558342.6267576,ENC,1769190,0,,0,0
1788558342.646564,ENC,1769210,0,,0,0
1788558342.6664038,ENC,1769230,0,,0,0
1788558342.6862936,ENC,1769250,0,,0,0
1788558342.7061968,ENC,1769270,0,,0,0
1788558342.72605,ENC,1769290,0,,0,0
1788558342.7459352,ENC,1769310,0,,0,0
1788558342.765843,ENC,1769330,0,,0,0
1788558342.7856767,ENC,1769350,0,,0,0
1788558342.8055048,ENC,1769370,0,,0,0
1788558342.8253944,ENC,1769390,0,,0,0
1788558342.8452833,ENC,1769410,0,,0,0
1788558342.8651545,ENC,1769430,0,,0,0
1788558342.8850026,ENC,1769450,0,,0,0
1788558342.9049344,ENC,1769470,0,,0,0
1788558342.9247997,ENC,1769490,0,,0,0
1788558342.9446602,ENC,1769510,0,,0,0
1788558342.9645793,ENC,1769530,0,,0,0
1788558342.9844646,ENC,1769550,0,,0,0
1788558343.0043209,ENC,1769570,0,,0,0
1788558343.0242414,ENC,1769590,0,,0,0
1788558343.044126,ENC,1769610,0,,0,0
1788558343.0639997,ENC,1769630,0,,0,0
1788558343.0839107,ENC,1769650,0,,0,0
1788558343.1037662,ENC,1769670,0,,0,0
1788558343.1236532,ENC,1769690,0,,0,0
1788558343.1435306,ENC,1769710,0,,0,0
1788558343.1634228,ENC,1769730,0,,0,0
1788558343.1833615,ENC,1769750,0,,0,0
1788558343.2031837,ENC,1769770,0,,0,0
1788558343.223083,ENC,1769790,0,,0,0
1788558343.2429323,ENC,1769810,0,,0,0
1788558343.2628324,ENC,1769830,0,,0,0
1788558343.282687,ENC,1769850,0,,0,0
1788558343.3026156,ENC,1769870,0,,0,0
1788558343.32247,ENC,1769890,0,,0,0
1788558343.3423452,ENC,1769910,0,,0,0
1788558343.362268,ENC,1769930,0,,0,0
1788558343.3821287,ENC,1769950,0,,0,0
1788558343.401997,ENC,1769970,0,,0,0
