host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1790316081.3275554,1,ENC,2688713,9,,0,0,0,,,,,,,,,,
1790316081.3480108,1,ENC,2688733,9,,0,0,0,,,,,,,,,,
1790316081.3672504,1,ENC,2688753,9,,0,0,0,,,,,,,,,,
1790316081.3871145,1,ENC,2688773,9,,0,0,0,,,,,,,,,,
1790316081.4051344,1,ENC,2688793,9,,0,0,0,,,,,,,,,,
1790316081.4268744,1,ENC,2688813,9,,0,0,0,,,,,,,,,,
1790316081.44694,1,ENC,2688833,9,,0,0,0,,,,,,,,,,
1790316081.4666212,1,ENC,2688853,9,,0,0,0,,,,,,,,,,
1790316081.486482,1,ENC,2688873,9,,0,0,0,,,,,,,,,,
1790316081.5064085,1,ENC,2688893,9,,0,0,0,,,,,,,,,,
1790316081.5262303,1,ENC,2688913,9,,0,0,0,,,,,,,,,,
1790316081.5461016,1,ENC,2688933,9,,0,0,0,,,,,,,,,,
1790316081.5661519,1,ENC,2688953,9,,0,0,0,,,,,,,,,,
1790316081.585846,1,ENC,2688973,9,,0,0,0,,,,,,,,,,
1790316081.603777,1,ENC,2688993,9,,0,0,0,,,,,,,,,,
1790316081.625621,1,ENC,2689013,9,,0,0,0,,,,,,,,,,
1790316081.6454802,1,ENC,2689033,9,,0,0,0,,,,,,,,,,
1790316081.6653583,1,ENC,2689053,9,,0,0,0,,,,,,,,,,
1790316081.6852195,1,ENC,2689073,9,,0,0,0,,,,,,,,,,
1790316081.7052062,1,ENC,2689093,9,,0,0,0,,,,,,,,,,
1790316081.725067,1,ENC,2689113,9,,0,0,0,,,,,,,,,,
1790316081.7448533,1,ENC,2689133,9,,0,0,0,,,,,,,,,,
1790316081.764745,1,ENC,2689153,9,,0,0,0,,,,,,,,,,
1790316081.7846117,1,ENC,2689173,9,,0,0,0,,,,,,,,,,
1790316081.802594,1,ENC,2689193,9,,0,0,0,,,,,,,,,,
1790316081.824374,1,ENC,2689213,9,,0,0,0,,,,,,,,,,
1790316081.8442562,1,ENC,2689233,9,,0,0,0,,,,,,,,,,
1790316081.864724,1,ENC,2689253,9,,0,0,0,,,,,,,,,,
1790316081.8839903,1,ENC,2689273,9,,0,0,0,,,,,,,,,,
1790316081.9038992,1,ENC,2689293,9,,0,0,0,,,,,,,,,,
1790316081.9238396,1,ENC,2689313,9,,0,0,0,,,,,,,,,,
1790316081.9439256,1,ENC,2689333,9,,0,0,0,,,,,,,,,,
1790316081.9638429,1,ENC,2689353,9,,0,0,0,,,,,,,,,,
1790316081.9835358,1,ENC,2689373,9,,0,0,0,,,,,,,,,,
1790316082.0034223,1,ENC,2689393,9,,0,0,0,,,,,,,,,,
1790316082.0214145,1,ENC,2689413,9,,0,0,0,,,,,,,,,,
1790316082.0432765,1,ENC,2689433,9,,0,0,0,,,,,,,,,,
1790316082.0630686,1,ENC,2689453,9,,0,0,0,,,,,,,,,,
1790316082.0829597,1,ENC,2689473,9,,0,0,0,,,,,,,,,,
1790316082.1028342,1,ENC,2689493,9,,0,0,0,,,,,,,,,,
1790316082.1246665,1,ENC,2689513,9,,0,0,0,,,,,,,,,,
1790316082.1426632,1,ENC,2689533,9,,0,0,0,,,,,,,,,,
1790316082.1624978,1,ENC,2689553,9,,0,0,0,,,,,,,,,,
1790316082.1823697,1,ENC,2689573,9,,0,0,0,,,,,,,,,,
