host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1790323404.4159038,1,ENC,8331,0,,0,0,20,,,,,,,,,,
1790323404.4367654,1,ENC,8351,0,,0,0,20,,,,,,,,,,
1790323404.4565163,1,ENC,8371,0,,0,0,20,,,,,,,,,,
1790323404.476353,1,ENC,8391,0,,0,0,20,,,,,,,,,,
1790323404.496212,1,ENC,8411,0,,0,0,20,,,,,,,,,,
1790323404.51608,1,ENC,8431,0,,0,0,20,,,,,,,,,,
1790323404.536006,1,ENC,8451,0,,0,0,20,,,,,,,,,,
1790323404.5557823,1,ENC,8471,0,,0,0,20,,,,,,,,,,
1790323404.5757873,1,ENC,8491,0,,0,0,20,,,,,,,,,,
1790323404.5955122,1,ENC,8511,0,,0,0,20,,,,,,,,,,
1790323404.61444,1,ENC,8531,0,,0,0,20,,,,,,,,,,
1790323404.6351957,1,ENC,8551,0,,0,0,20,,,,,,,,,,
1790323404.655073,1,ENC,8571,0,,0,0,20,,,,,,,,,,
1790323404.6749012,1,ENC,8591,0,,0,0,20,,,,,,,,,,
1790323404.6947544,1,ENC,8611,0,,0,0,20,,,,,,,,,,
1790323404.7146056,1,ENC,8631,0,,0,0,20,,,,,,,,,,
1790323404.7344637,1,ENC,8651,0,,0,0,20,,,,,,,,,,
1790323404.754324,1,ENC,8671,0,,0,0,20,,,,,,,,,,
1790323404.7743385,1,ENC,8691,0,,0,0,20,,,,,,,,,,
1790323404.794044,1,ENC,8711,0,,0,0,20,,,,,,,,,,
1790323404.812976,1,ENC,8731,0,,0,0,20,,,,,,,,,,
1790323404.833763,1,ENC,8751,0,,0,0,20,,,,,,,,,,
1790323404.8536153,1,ENC,8771,0,,0,0,20,,,,,,,,,,
1790323404.8734465,1,ENC,8791,0,,0,0,20,,,,,,,,,,
1790323404.8933046,1,ENC,8811,0,,0,0,20,,,,,,,,,,
1790323404.9131594,1,ENC,8831,0,,0,0,20,,,,,,,,,,
1790323404.9331014,1,ENC,8851,0,,0,0,20,,,,,,,,,,
1790323404.952864,1,ENC,8871,0,,0,0,20,,,,,,,,,,
1790323404.9728675,1,ENC,8891,0,,0,0,20,,,,,,,,,,
1790323404.9925878,1,ENC,8911,0,,0,0,20,,,,,,,,,,
1790323405.0115232,1,ENC,8931,0,,0,0,20,,,,,,,,,,
1790323405.032417,1,ENC,8951,0,,0,0,20,,,,,,,,,,
1790323405.05229,1,ENC,8971,0,,0,0,20,,,,,,,,,,
1790323405.0721116,1,ENC,8991,0,,0,0,20,,,,,,,,,,
1790323405.091983,1,ENC,9011,0,,0,0,20,,,,,,,,,,
1790323405.1118987,1,ENC,9031,0,,0,0,20,,,,,,,,,,
1790323405.1316857,1,ENC,9051,0,,0,0,20,,,,,,,,,,
1790323405.151527,1,ENC,9071,0,,0,0,20,,,,,,,,,,
1790323405.1715624,1,ENC,9091,0,,0,0,20,,,,,,,,,,
1790323405.1912882,1,ENC,9111,0,,0,0,20,,,,,,,,,,
1790323405.210251,1,ENC,9131,0,,0,0,20,,,,,,,,,,
1790323405.2310083,1,ENC,9151,0,,0,0,20,,,,,,,,,,
1790323405.2509334,1,ENC,9171,0,,0,0,20,,,,,,,,,,
1790323405.2706792,1,ENC,9191,0,,0,0,20,,,,,,,,,,
1790323405.290571,1,ENC,9211,0,,0,0,20,,,,,,,,,,
1790323405.3105583,1,ENC,9231,0,,0,0,20,,,,,,,,,,
1790323405.330288,1,ENC,9251,0,,0,0,20,,,,,,,,,,
1790323405.350059,1,ENC,9271,0,,0,0,20,,,,,,,,,,
1790323405.369878,1,ENC,9291,0,,0,0,20,,,,,,,,,,
1790323405.3897834,1,ENC,9311,0,,0,0,20,,,,,,,,,,
1790323405.4087195,1,ENC,9331,0,,0,0,20,,,,,,,,,,
1790323405.4294674,1,ENC,9351,0,,0,0,20,,,,,,,,,,
1790323405.4494793,1,ENC,9371,0,,0,0,20,,,,,,,,,,
1790323405.46917,1,ENC,9391,0,,0,0,20,,,,,,,,,,
1790323405.4890146,1,ENC,9411,0,,0,0,20,,,,,,,,,,
1790323405.508933,1,ENC,9431,0,,0,0,20,,,,,,,,,,
1790323405.5287182,1,ENC,9451,0,,0,0,20,,,,,,,,,,
1790323405.5485992,1,ENC,9471,0,,0,0,20,,,,,,,,,,
1790323405.568438,1,ENC,9491,0,,0,0,20,,,,,,,,,,
1790323405.5884318,1,ENC,9511,0,,0,0,20,,,,,,,,,,
1790323405.6072304,1,ENC,9531,0,,0,0,20,,,,,,,,,,
1790323405.6279953,1,ENC,9551,0,,0,0,20,,,,,,,,,,
1790323405.6478658,1,ENC,9571,0,,0,0,20,,,,,,,,,,
1790323405.6677043,1,ENC,9591,0,,0,0,20,,,,,,,,,,
1790323405.6875525,1,ENC,9611,0,,0,0,20,,,,,,,,,,
1790323405.707423,1,ENC,9631,0,,0,0,20,,,,,,,,,,
1790323405.727375,1,ENC,9651,0,,0,0,20,,,,,,,,,,
1790323405.7470975,1,ENC,9671,0,,0,0,20,,,,,,,,,,
1790323405.766941,1,ENC,9691,0,,0,0,20,,,,,,,,,,
1790323405.786804,1,ENC,9711,0,,0,0,20,,,,,,,,,,
1790323405.8057075,1,ENC,9731,0,,0,0,20,,,,,,,,,,
1790323405.8264916,1,ENC,9751,0,,0,0,20,,,,,,,,,,
1790323405.846372,1,ENC,9771,0,,0,0,20,,,,,,,,,,
1790323405.8661826,1,ENC,9791,0,,0,0,20,,,,,,,,,,
1790323405.8860476,1,ENC,9811,0,,0,0,20,,,,,,,,,,
1790323405.90594,1,ENC,9831,0,,0,0,20,,,,,,,,,,
1790323405.9258885,1,ENC,9851,0,,0,0,20,,,,,,,,,,
1790323405.9456224,1,ENC,9871,0,,0,0,20,,,,,,,,,,
1790323405.9654825,1,ENC,9891,0,,0,0,20,,,,,,,,,,
1790323405.9853683,1,ENC,9911,0,,0,0,20,,,,,,,,,,
1790323406.0042765,1,ENC,9931,0,,0,0,20,,,,,,,,,,
