host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1788592784.5498033,1,ENC,13651,0,,0,0,20,,,,,,,,,,
1788592784.5688,1,ENC,13671,0,,0,0,20,,,,,,,,,,
1788592784.5896137,1,ENC,13691,0,,0,0,20,,,,,,,,,,
1788592784.6094637,1,ENC,13711,0,,0,0,20,,,,,,,,,,
1788592784.6293972,1,ENC,13731,0,,0,0,20,,,,,,,,,,
1788592784.649293,1,ENC,13751,0,,0,0,20,,,,,,,,,,
1788592784.6693158,1,ENC,13771,0,,0,0,20,,,,,,,,,,
1788592784.689125,1,ENC,13791,0,,0,0,20,,,,,,,,,,
1788592784.709029,1,ENC,13811,0,,0,0,20,,,,,,,,,,
1788592784.7289774,1,ENC,13831,0,,0,0,20,,,,,,,,,,
1788592784.7488863,1,ENC,13851,0,,0,0,20,,,,,,,,,,
1788592784.767851,1,ENC,13871,0,,0,0,20,,,,,,,,,,
1788592784.788722,1,ENC,13891,0,,0,0,20,,,,,,,,,,
1788592784.8087308,1,ENC,13911,0,,0,0,20,,,,,,,,,,
1788592784.8285425,1,ENC,13931,0,,0,0,20,,,,,,,,,,
1788592784.8484304,1,ENC,13951,0,,0,0,20,,,,,,,,,,
1788592784.8684258,1,ENC,13971,0,,0,0,20,,,,,,,,,,
1788592784.8882895,1,ENC,13991,0,,0,0,20,,,,,,,,,,
1788592784.9081783,1,ENC,14011,0,,0,0,20,,,,,,,,,,
1788592784.9281065,1,ENC,14031,0,,0,0,20,,,,,,,,,,
1788592784.948157,1,ENC,14051,0,,0,0,20,,,,,,,,,,
1788592784.9670517,1,ENC,14071,0,,0,0,20,,,,,,,,,,
1788592784.987909,1,ENC,14091,0,,0,0,20,,,,,,,,,,
1788592785.0078328,1,ENC,14111,0,,0,0,20,,,,,,,,,,
1788592785.0277169,1,ENC,14131,0,,0,0,20,,,,,,,,,,
1788592785.0476482,1,ENC,14151,0,,0,0,20,,,,,,,,,,
1788592785.0675533,1,ENC,14171,0,,0,0,20,,,,,,,,,,
1788592785.0874915,1,ENC,14191,0,,0,0,20,,,,,,,,,,
1788592785.1073906,1,ENC,14211,0,,0,0,20,,,,,,,,,,
1788592785.1273363,1,ENC,14231,0,,0,0,20,,,,,,,,,,
1788592785.1473553,1,ENC,14251,0,,0,0,20,,,,,,,,,,
1788592785.1662257,1,ENC,14271,0,,0,0,20,,,,,,,,,,
1788592785.1871004,1,ENC,14291,0,,0,0,20,,,,,,,,,,
1788592785.2069812,1,ENC,14311,0,,0,0,20,,,,,,,,,,
1788592785.2270021,1,ENC,14331,0,,0,0,20,,,,,,,,,,
1788592785.2469265,1,ENC,14351,0,,0,0,20,,,,,,,,,,
1788592785.266812,1,ENC,14371,0,,0,0,20,,,,,,,,,,
1788592785.2869134,1,ENC,14391,0,,0,0,20,,,,,,,,,,
1788592785.306695,1,ENC,14411,0,,0,0,20,,,,,,,,,,
1788592785.3266668,1,ENC,14431,0,,0,0,20,,,,,,,,,,
1788592785.346584,1,ENC,14451,0,,0,0,20,,,,,,,,,,
1788592785.3654313,1,ENC,14471,0,,0,0,20,,,,,,,,,,
1788592785.3864756,1,ENC,14491,0,,0,0,20,,,,,,,,,,
1788592785.406212,1,ENC,14511,0,,0,0,20,,,,,,,,,,
1788592785.4261448,1,ENC,14531,0,,0,0,20,,,,,,,,,,
1788592785.4461505,1,ENC,14551,0,,0,0,20,,,,,,,,,,
1788592785.4661307,1,ENC,14571,0,,0,0,20,,,,,,,,,,
1788592785.4862018,1,ENC,14591,0,,0,0,20,,,,,,,,,,
1788592785.5061717,1,ENC,14611,0,,0,0,20,,,,,,,,,,
1788592785.525792,1,ENC,14631,0,,0,0,20,,,,,,,,,,
1788592785.54566,1,ENC,14651,0,,0,0,20,,,,,,,,,,
1788592785.5648074,1,ENC,14671,0,,0,0,20,,,,,,,,,,
1788592785.5855706,1,ENC,14691,0,,0,0,20,,,,,,,,,,
1788592785.605443,1,ENC,14711,0,,0,0,20,,,,,,,,,,
1788592785.6256557,1,ENC,14731,0,,0,0,20,,,,,,,,,,
1788592785.6454208,1,ENC,14751,0,,0,0,20,,,,,,,,,,
1788592785.6653051,1,ENC,14771,0,,0,0,20,,,,,,,,,,
1788592785.6852107,1,ENC,14791,0,,0,0,20,,,,,,,,,,
1788592785.705198,1,ENC,14811,0,,0,0,20,,,,,,,,,,
1788592785.7249236,1,ENC,14831,0,,0,0,20,,,,,,,,,,
1788592785.744843,1,ENC,14851,0,,0,0,20,,,,,,,,,,
1788592785.7644572,1,ENC,14871,0,,0,0,20,,,,,,,,,,
1788592785.7846968,1,ENC,14891,0,,0,0,20,,,,,,,,,,
1788592785.8045824,1,ENC,14911,0,,0,0,20,,,,,,,,,,
1788592785.8246274,1,ENC,14931,0,,0,0,20,,,,,,,,,,
1788592785.844706,1,ENC,14951,0,,0,0,20,,,,,,,,,,
1788592785.8646848,1,ENC,14971,0,,0,0,20,,,,,,,,,,
1788592785.8844001,1,ENC,14991,0,,0,0,20,,,,,,,,,,
1788592785.904337,1,ENC,15011,0,,0,0,20,,,,,,,,,,
1788592785.9241228,1,ENC,15031,0,,0,0,20,,,,,,,,,,
1788592785.9440205,1,ENC,15051,0,,0,0,20,,,,,,,,,,
1788592785.963014,1,ENC,15071,0,,0,0,20,,,,,,,,,,
1788592785.983885,1,ENC,15091,0,,0,0,20,,,,,,,,,,
1788592786.0037456,1,ENC,15111,0,,0,0,20,,,,,,,,,,
1788592786.0238383,1,ENC,15131,0,,0,0,20,,,,,,,,,,
1788592786.0438452,1,ENC,15151,0,,0,0,20,,,,,,,,,,
1788592786.0639834,1,ENC,15171,0,,0,0,20,,,,,,,,,,
1788592786.0835793,1,ENC,15191,0,,0,0,20,,,,,,,,,,
1788592786.1034784,1,ENC,15211,0,,0,0,20,,,,,,,,,,
1788592786.1237614,1,ENC,15231,0,,0,0,20,,,,,,,,,,
1788592786.1432176,1,ENC,15251,0,,0,0,20,,,,,,,,,,
1788592786.1633515,1,ENC,15271,0,,0,0,20,,,,,,,,,,
1788592786.1833413,1,ENC,15291,0,,0,0,20,,,,,,,,,,
1788592786.2031446,1,ENC,15311,0,,0,0,20,,,,,,,,,,
1788592786.2230635,1,ENC,15331,0,,0,0,20,,,,,,,,,,
1788592786.2434015,1,ENC,15351,0,,0,0,20,,,,,,,,,,
1788592786.2630665,1,ENC,15371,0,,0,0,20,,,,,,,,,,
1788592786.282848,1,ENC,15391,0,,0,0,20,,,,,,,,,,
1788592786.3030012,1,ENC,15411,0,,0,0,20,,,,,,,,,,
1788592786.322642,1,ENC,15431,0,,0,0,20,,,,,,,,,,
1788592786.3425405,1,ENC,15451,0,,0,0,20,,,,,,,,,,
1788592786.3624406,1,ENC,15471,0,,0,0,20,,,,,,,,,,
1788592786.3829315,1,ENC,15491,0,,0,0,20,,,,,,,,,,
1788592786.4024463,1,ENC,15511,0,,0,0,20,,,,,,,,,,
1788592786.4222465,1,ENC,15531,0,,0,0,20,,,,,,,,,,
1788592786.4420888,1,ENC,15551,0,,0,0,20,,,,,,,,,,
1788592786.462207,1,ENC,15571,0,,0,0,20,,,,,,,,,,
1788592786.4819298,1,ENC,15591,0,,0,0,20,,,,,,,,,,
1788592786.5020006,1,ENC,15611,0,,0,0,20,,,,,,,,,,
1788592786.5222018,1,ENC,15631,0,,0,0,20,,,,,,,,,,
1788592786.5419238,1,ENC,15651,0,,0,0,20,,,,,,,,,,
1788592786.5617945,1,ENC,15671,0,,0,0,20,,,,,,,,,,
1788592786.5818458,1,ENC,15691,0,,0,0,20,,,,,,,,,,
1788592786.6018586,1,ENC,15711,0,,0,0,20,,,,,,,,,,
1788592786.6218443,1,ENC,15731,0,,0,0,20,,,,,,,,,,
1788592786.64209,1,ENC,15751,0,,0,0,20,,,,,,,,,,
1788592786.661981,1,ENC,15771,0,,0,0,20,,,,,,,,,,
1788592786.681931,1,ENC,15791,0,,0,0,20,,,,,,,,,,
1788592786.7018366,1,ENC,15811,0,,0,0,20,,,,,,,,,,
1788592786.7217774,1,ENC,15831,0,,0,0,20,,,,,,,,,,
1788592786.7417984,1,ENC,15851,0,,0,0,20,,,,,,,,,,
1788592786.760844,1,ENC,15871,0,,0,0,20,,,,,,,,,,
1788592786.781493,1,ENC,15891,0,,0,0,20,,,,,,,,,,
1788592786.8017476,1,ENC,15911,0,,0,0,20,,,,,,,,,,
1788592786.8213034,1,ENC,15931,0,,0,0,20,,,,,,,,,,
1788592786.8412483,1,ENC,15951,0,,0,0,20,,,,,,,,,,
1788592786.8611317,1,ENC,15971,0,,0,0,20,,,,,,,,,,
1788592786.8815064,1,ENC,15991,0,,0,0,20,,,,,,,,,,
