host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1790316664.868001,1,ENC,57611,0,,0,0,0,,,,,,,,,,
1790316664.8878274,1,ENC,57631,0,,0,0,0,,,,,,,,,,
1790316664.9076889,1,ENC,57651,0,,0,0,0,,,,,,,,,,
1790316664.9266698,1,ENC,57671,0,,0,0,0,,,,,,,,,,
1790316664.9474154,1,ENC,57691,0,,0,0,0,,,,,,,,,,
1790316664.9672906,1,ENC,57711,0,,0,0,0,,,,,,,,,,
1790316664.9872649,1,ENC,57731,0,,0,0,0,,,,,,,,,,
1790316665.0069957,1,ENC,57751,0,,0,0,0,,,,,,,,,,
1790316665.0268874,1,ENC,57771,0,,0,0,0,,,,,,,,,,
1790316665.0467,1,ENC,57791,0,,0,0,0,,,,,,,,,,
1790316665.0665503,1,ENC,57811,0,,0,0,0,,,,,,,,,,
1790316665.0864096,1,ENC,57831,0,,0,0,0,,,,,,,,,,
1790316665.1063435,1,ENC,57851,0,,0,0,0,,,,,,,,,,
1790316665.125271,1,ENC,57871,0,,0,0,0,,,,,,,,,,
1790316665.1459548,1,ENC,57891,0,,0,0,0,,,,,,,,,,
1790316665.165812,1,ENC,57911,0,,0,0,0,,,,,,,,,,
1790316665.185657,1,ENC,57931,0,,0,0,0,,,,,,,,,,
1790316665.2055228,1,ENC,57951,0,,0,0,0,,,,,,,,,,
1790316665.2254002,1,ENC,57971,0,,0,0,0,,,,,,,,,,
1790316665.2452383,1,ENC,57991,0,,0,0,0,,,,,,,,,,
1790316665.2652266,1,ENC,58011,0,,0,0,0,,,,,,,,,,
1790316665.2849548,1,ENC,58031,0,,0,0,0,,,,,,,,,,
1790316665.3049014,1,ENC,58051,0,,0,0,0,,,,,,,,,,
1790316665.3237746,1,ENC,58071,0,,0,0,0,,,,,,,,,,
1790316665.3445466,1,ENC,58091,0,,0,0,0,,,,,,,,,,
1790316665.3644257,1,ENC,58111,0,,0,0,0,,,,,,,,,,
1790316665.3842685,1,ENC,58131,0,,0,0,0,,,,,,,,,,
1790316665.404264,1,ENC,58151,0,,0,0,0,,,,,,,,,,
1790316665.4240522,1,ENC,58171,0,,0,0,0,,,,,,,,,,
1790316665.4438798,1,ENC,58191,0,,0,0,0,,,,,,,,,,
1790316665.4637625,1,ENC,58211,0,,0,0,0,,,,,,,,,,
1790316665.48363,1,ENC,58231,0,,0,0,0,,,,,,,,,,
1790316665.5036082,1,ENC,58251,0,,0,0,0,,,,,,,,,,
1790316665.5225825,1,ENC,58271,0,,0,0,0,,,,,,,,,,
1790316665.5435061,1,ENC,58291,0,,0,0,0,,,,,,,,,,
1790316665.5632083,1,ENC,58311,0,,0,0,0,,,,,,,,,,
1790316665.5830984,1,ENC,58331,0,,0,0,0,,,,,,,,,,
1790316665.6029625,1,ENC,58351,0,,0,0,0,,,,,,,,,,
1790316665.6228063,1,ENC,58371,0,,0,0,0,,,,,,,,,,
1790316665.6426597,1,ENC,58391,0,,0,0,0,,,,,,,,,,
1790316665.6625147,1,ENC,58411,0,,0,0,0,,,,,,,,,,
1790316665.682531,1,ENC,58431,0,,0,0,0,,,,,,,,,,
1790316665.702374,1,ENC,58451,0,,0,0,0,,,,,,,,,,
1790316665.721222,1,ENC,58471,0,,0,0,0,,,,,,,,,,
1790316665.7421002,1,ENC,58491,0,,0,0,0,,,,,,,,,,
1790316665.7620158,1,ENC,58511,0,,0,0,0,,,,,,,,,,
1790316665.7817767,1,ENC,58531,0,,0,0,0,,,,,,,,,,
1790316665.8016548,1,ENC,58551,0,,0,0,0,,,,,,,,,,
1790316665.821736,1,ENC,58571,0,,0,0,0,,,,,,,,,,
1790316665.8417108,1,ENC,58591,0,,0,0,0,,,,,,,,,,
1790316665.86157,1,ENC,58611,0,,0,0,0,,,,,,,,,,
1790316665.8814673,1,ENC,58631,0,,0,0,0,,,,,,,,,,
1790316665.9013064,1,ENC,58651,0,,0,0,0,,,,,,,,,,
1790316665.9205875,1,ENC,58671,0,,0,0,0,,,,,,,,,,
1790316665.941052,1,ENC,58691,0,,0,0,0,,,,,,,,,,
1790316665.9610946,1,ENC,58711,0,,0,0,0,,,,,,,,,,
