host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1790323467.1817067,1,ENC,7591,0,,0,0,20,,,,,,,,,,
1790323467.201527,1,ENC,7611,0,,0,0,20,,,,,,,,,,
1790323467.2213893,1,ENC,7631,0,,0,0,20,,,,,,,,,,
1790323467.2413402,1,ENC,7651,0,,0,0,20,,,,,,,,,,
1790323467.2611153,1,ENC,7671,0,,0,0,20,,,,,,,,,,
1790323467.2800648,1,ENC,7691,0,,0,0,20,,,,,,,,,,
1790323467.3010106,1,ENC,7711,0,,0,0,20,,,,,,,,,,
1790323467.320706,1,ENC,7731,0,,0,0,20,,,,,,,,,,
1790323467.3405657,1,ENC,7751,0,,0,0,20,,,,,,,,,,
1790323467.3604784,1,ENC,7771,0,,0,0,20,,,,,,,,,,
1790323467.3803012,1,ENC,7791,0,,0,0,20,,,,,,,,,,
1790323467.4001632,1,ENC,7811,0,,0,0,20,,,,,,,,,,
1790323467.4200296,1,ENC,7831,0,,0,0,20,,,,,,,,,,
1790323467.4398868,1,ENC,7851,0,,0,0,20,,,,,,,,,,
1790323467.459747,1,ENC,7871,0,,0,0,20,,,,,,,,,,
1790323467.4787095,1,ENC,7891,0,,0,0,20,,,,,,,,,,
1790323467.4994936,1,ENC,7911,0,,0,0,20,,,,,,,,,,
1790323467.5193272,1,ENC,7931,0,,0,0,20,,,,,,,,,,
1790323467.5391939,1,ENC,7951,0,,0,0,20,,,,,,,,,,
1790323467.559071,1,ENC,7971,0,,0,0,20,,,,,,,,,,
1790323467.5789077,1,ENC,7991,0,,0,0,20,,,,,,,,,,
1790323467.5987659,1,ENC,8011,0,,0,0,20,,,,,,,,,,
1790323467.6186247,1,ENC,8031,0,,0,0,20,,,,,,,,,,
1790323467.6384912,1,ENC,8051,0,,0,0,20,,,,,,,,,,
1790323467.658345,1,ENC,8071,0,,0,0,20,,,,,,,,,,
1790323467.6772816,1,ENC,8091,0,,0,0,20,,,,,,,,,,
1790323467.6980753,1,ENC,8111,0,,0,0,20,,,,,,,,,,
1790323467.7179134,1,ENC,8131,0,,0,0,20,,,,,,,,,,
1790323467.7377744,1,ENC,8151,0,,0,0,20,,,,,,,,,,
1790323467.7576728,1,ENC,8171,0,,0,0,20,,,,,,,,,,
1790323467.7774994,1,ENC,8191,0,,0,0,20,,,,,,,,,,
1790323467.7974412,1,ENC,8211,0,,0,0,20,,,,,,,,,,
1790323467.8173122,1,ENC,8231,0,,0,0,20,,,,,,,,,,
1790323467.837152,1,ENC,8251,0,,0,0,20,,,,,,,,,,
1790323467.8571692,1,ENC,8271,0,,0,0,20,,,,,,,,,,
1790323467.8760014,1,ENC,8291,0,,0,0,20,,,,,,,,,,
1790323467.8967483,1,ENC,8311,0,,0,0,20,,,,,,,,,,
1790323467.9166155,1,ENC,8331,0,,0,0,20,,,,,,,,,,
1790323467.936474,1,ENC,8351,0,,0,0,20,,,,,,,,,,
1790323467.9563544,1,ENC,8371,0,,0,0,20,,,,,,,,,,
1790323467.9761672,1,ENC,8391,0,,0,0,20,,,,,,,,,,
1790323467.9960494,1,ENC,8411,0,,0,0,20,,,,,,,,,,
