host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1788592805.4344082,1,ENC,3591,0,,0,0,20,,,,,,,,,,
1788592805.454237,1,ENC,3611,0,,0,0,20,,,,,,,,,,
1788592805.4741774,1,ENC,3631,0,,0,0,20,,,,,,,,,,
1788592805.4941127,1,ENC,3651,0,,0,0,20,,,,,,,,,,
1788592805.5140038,1,ENC,3671,0,,0,0,20,,,,,,,,,,
1788592805.5339255,1,ENC,3691,0,,0,0,20,,,,,,,,,,
1788592805.5540082,1,ENC,3711,0,,0,0,20,,,,,,,,,,
1788592805.5728853,1,ENC,3731,0,,0,0,20,,,,,,,,,,
1788592805.5936954,1,ENC,3751,0,,0,0,20,,,,,,,,,,
1788592805.613615,1,ENC,3771,0,,0,0,20,,,,,,,,,,
1788592805.633539,1,ENC,3791,0,,0,0,20,,,,,,,,,,
1788592805.653446,1,ENC,3811,0,,0,0,20,,,,,,,,,,
1788592805.6733599,1,ENC,3831,0,,0,0,20,,,,,,,,,,
1788592805.6934366,1,ENC,3851,0,,0,0,20,,,,,,,,,,
1788592805.7132034,1,ENC,3871,0,,0,0,20,,,,,,,,,,
1788592805.7331402,1,ENC,3891,0,,0,0,20,,,,,,,,,,
1788592805.7530575,1,ENC,3911,0,,0,0,20,,,,,,,,,,
1788592805.7721496,1,ENC,3931,0,,0,0,20,,,,,,,,,,
1788592805.7929015,1,ENC,3951,0,,0,0,20,,,,,,,,,,
1788592805.812823,1,ENC,3971,0,,0,0,20,,,,,,,,,,
1788592805.832896,1,ENC,3991,0,,0,0,20,,,,,,,,,,
1788592805.8526728,1,ENC,4011,0,,0,0,20,,,,,,,,,,
1788592805.8725944,1,ENC,4031,0,,0,0,20,,,,,,,,,,
1788592805.8925529,1,ENC,4051,0,,0,0,20,,,,,,,,,,
1788592805.9124482,1,ENC,4071,0,,0,0,20,,,,,,,,,,
1788592805.9323707,1,ENC,4091,0,,0,0,20,,,,,,,,,,
1788592805.9523015,1,ENC,4111,0,,0,0,20,,,,,,,,,,
1788592805.9714046,1,ENC,4131,0,,0,0,20,,,,,,,,,,
1788592805.992155,1,ENC,4151,0,,0,0,20,,,,,,,,,,
1788592806.0120742,1,ENC,4171,0,,0,0,20,,,,,,,,,,
1788592806.03213,1,ENC,4191,0,,0,0,20,,,,,,,,,,
1788592806.0519097,1,ENC,4211,0,,0,0,20,,,,,,,,,,
1788592806.07194,1,ENC,4231,0,,0,0,20,,,,,,,,,,
1788592806.0919402,1,ENC,4251,0,,0,0,20,,,,,,,,,,
1788592806.1119673,1,ENC,4271,0,,0,0,20,,,,,,,,,,
1788592806.1318898,1,ENC,4291,0,,0,0,20,,,,,,,,,,
1788592806.151815,1,ENC,4311,0,,0,0,20,,,,,,,,,,
1788592806.1714492,1,ENC,4331,0,,0,0,20,,,,,,,,,,
1788592806.19187,1,ENC,4351,0,,0,0,20,,,,,,,,,,
1788592806.211814,1,ENC,4371,0,,0,0,20,,,,,,,,,,
1788592806.2317352,1,ENC,4391,0,,0,0,20,,,,,,,,,,
1788592806.2516716,1,ENC,4411,0,,0,0,20,,,,,,,,,,
1788592806.2716246,1,ENC,4431,0,,0,0,20,,,,,,,,,,
1788592806.291573,1,ENC,4451,0,,0,0,20,,,,,,,,,,
1788592806.3118386,1,ENC,4471,0,,0,0,20,,,,,,,,,,
1788592806.3312685,1,ENC,4491,0,,0,0,20,,,,,,,,,,
1788592806.3512256,1,ENC,4511,0,,0,0,20,,,,,,,,,,
1788592806.3705962,1,ENC,4531,0,,0,0,20,,,,,,,,,,
1788592806.391143,1,ENC,4551,0,,0,0,20,,,,,,,,,,
1788592806.4109478,1,ENC,4571,0,,0,0,20,,,,,,,,,,
1788592806.4308662,1,ENC,4591,0,,0,0,20,,,,,,,,,,
1788592806.450786,1,ENC,4611,0,,0,0,20,,,,,,,,,,
1788592806.4707148,1,ENC,4631,0,,0,0,20,,,,,,,,,,
1788592806.4906538,1,ENC,4651,0,,0,0,20,,,,,,,,,,
1788592806.5107276,1,ENC,4671,0,,0,0,20,,,,,,,,,,
1788592806.5317786,1,ENC,4691,0,,0,0,20,,,,,,,,,,
1788592806.5504391,1,ENC,4711,0,,0,0,20,,,,,,,,,,
1788592806.5694704,1,ENC,4731,0,,0,0,20,,,,,,,,,,
1788592806.5901175,1,ENC,4751,0,,0,0,20,,,,,,,,,,
1788592806.6100426,1,ENC,4771,0,,0,0,20,,,,,,,,,,
1788592806.6299784,1,ENC,4791,0,,0,0,20,,,,,,,,,,
1788592806.6499968,1,ENC,4811,0,,0,0,20,,,,,,,,,,
1788592806.669979,1,ENC,4831,0,,0,0,20,,,,,,,,,,
1788592806.6899273,1,ENC,4851,0,,0,0,20,,,,,,,,,,
1788592806.7099748,1,ENC,4871,0,,0,0,20,,,,,,,,,,
1788592806.7297342,1,ENC,4891,0,,0,0,20,,,,,,,,,,
1788592806.749683,1,ENC,4911,0,,0,0,20,,,,,,,,,,
1788592806.7689931,1,ENC,4931,0,,0,0,20,,,,,,,,,,
1788592806.7894988,1,ENC,4951,0,,0,0,20,,,,,,,,,,
1788592806.8094277,1,ENC,4971,0,,0,0,20,,,,,,,,,,
1788592806.829352,1,ENC,4991,0,,0,0,20,,,,,,,,,,
1788592806.849454,1,ENC,5011,0,,0,0,20,,,,,,,,,,
1788592806.8692203,1,ENC,5031,0,,0,0,20,,,,,,,,,,
1788592806.889175,1,ENC,5051,0,,0,0,20,,,,,,,,,,
1788592806.9090784,1,ENC,5071,0,,0,0,20,,,,,,,,,,
1788592806.9290056,1,ENC,5091,0,,0,0,20,,,,,,,,,,
1788592806.9489532,1,ENC,5111,0,,0,0,20,,,,,,,,,,
1788592806.9682837,1,ENC,5131,0,,0,0,20,,,,,,,,,,
1788592806.9887974,1,ENC,5151,0,,0,0,20,,,,,,,,,,
1788592807.0084157,1,ENC,5171,0,,0,0,20,,,,,,,,,,
1788592807.0283053,1,ENC,5191,0,,0,0,20,,,,,,,,,,
1788592807.0482092,1,ENC,5211,0,,0,0,20,,,,,,,,,,
1788592807.0681286,1,ENC,5231,0,,0,0,20,,,,,,,,,,
1788592807.088455,1,ENC,5251,0,,0,0,20,,,,,,,,,,
1788592807.1090045,1,ENC,5271,0,,0,0,20,,,,,,,,,,
1788592807.12907,1,ENC,5291,0,,0,0,20,,,,,,,,,,
1788592807.1488435,1,ENC,5311,0,,0,0,20,,,,,,,,,,
1788592807.1682444,1,ENC,5331,0,,0,0,20,,,,,,,,,,
1788592807.188461,1,ENC,5351,0,,0,0,20,,,,,,,,,,
1788592807.2083473,1,ENC,5371,0,,0,0,20,,,,,,,,,,
1788592807.2282686,1,ENC,5391,0,,0,0,20,,,,,,,,,,
1788592807.248187,1,ENC,5411,0,,0,0,20,,,,,,,,,,
1788592807.2682989,1,ENC,5431,0,,0,0,20,,,,,,,,,,
1788592807.2880595,1,ENC,5451,0,,0,0,20,,,,,,,,,,
1788592807.3079479,1,ENC,5471,0,,0,0,20,,,,,,,,,,
1788592807.3273227,1,ENC,5491,0,,0,0,20,,,,,,,,,,
1788592807.3472397,1,ENC,5511,0,,0,0,20,,,,,,,,,,
1788592807.3667355,1,ENC,5531,0,,0,0,20,,,,,,,,,,
1788592807.3878725,1,ENC,5551,0,,0,0,20,,,,,,,,,,
1788592807.4078994,1,ENC,5571,0,,0,0,20,,,,,,,,,,
1788592807.4277396,1,ENC,5591,0,,0,0,20,,,,,,,,,,
1788592807.447657,1,ENC,5611,0,,0,0,20,,,,,,,,,,
1788592807.467754,1,ENC,5631,0,,0,0,20,,,,,,,,,,
1788592807.4873016,1,ENC,5651,0,,0,0,20,,,,,,,,,,
1788592807.5071692,1,ENC,5671,0,,0,0,20,,,,,,,,,,
1788592807.5270846,1,ENC,5691,0,,0,0,20,,,,,,,,,,
1788592807.5470378,1,ENC,5711,0,,0,0,20,,,,,,,,,,
1788592807.566236,1,ENC,5731,0,,0,0,20,,,,,,,,,,
1788592807.5868573,1,ENC,5751,0,,0,0,20,,,,,,,,,,
1788592807.6069775,1,ENC,5771,0,,0,0,20,,,,,,,,,,
1788592807.6267648,1,ENC,5791,0,,0,0,20,,,,,,,,,,
1788592807.6465929,1,ENC,5811,0,,0,0,20,,,,,,,,,,
1788592807.6665308,1,ENC,5831,0,,0,0,20,,,,,,,,,,
1788592807.6864493,1,ENC,5851,0,,0,0,20,,,,,,,,,,
1788592807.7058947,1,ENC,5871,0,,0,0,20,,,,,,,,,,
1788592807.725474,1,ENC,5891,0,,0,0,20,,,,,,,,,,
1788592807.7455463,1,ENC,5911,0,,0,0,20,,,,,,,,,,
1788592807.7644157,1,ENC,5931,0,,0,0,20,,,,,,,,,,
1788592807.7852614,1,ENC,5951,0,,0,0,20,,,,,,,,,,
1788592807.8051558,1,ENC,5971,0,,0,0,20,,,,,,,,,,
1788592807.825224,1,ENC,5991,0,,0,0,20,,,,,,,,,,
1788592807.8450077,1,ENC,6011,0,,0,0,20,,,,,,,,,,
1788592807.864927,1,ENC,6031,0,,0,0,20,,,,,,,,,,
1788592807.8848443,1,ENC,6051,0,,0,0,20,,,,,,,,,,
1788592807.9047415,1,ENC,6071,0,,0,0,20,,,,,,,,,,
1788592807.9246528,1,ENC,6091,0,,0,0,20,,,,,,,,,,
1788592807.9445846,1,ENC,6111,0,,0,0,20,,,,,,,,,,
1788592807.963557,1,ENC,6131,0,,0,0,20,,,,,,,,,,
1788592807.9844825,1,ENC,6151,0,,0,0,20,,,,,,,,,,
1788592808.0042634,1,ENC,6171,0,,0,0,20,,,,,,,,,,
1788592808.0241802,1,ENC,6191,0,,0,0,20,,,,,,,,,,
1788592808.044088,1,ENC,6211,0,,0,0,20,,,,,,,,,,
1788592808.0640292,1,ENC,6231,0,,0,0,20,,,,,,,,,,
1788592808.0839763,1,ENC,6251,0,,0,0,20,,,,,,,,,,
1788592808.103868,1,ENC,6271,0,,0,0,20,,,,,,,,,,
1788592808.123764,1,ENC,6291,0,,0,0,20,,,,,,,,,,
1788592808.1436849,1,ENC,6311,0,,0,0,20,,,,,,,,,,
1788592808.1626709,1,ENC,6331,0,,0,0,20,,,,,,,,,,
1788592808.1836529,1,ENC,6351,0,,0,0,20,,,,,,,,,,
1788592808.2034316,1,ENC,6371,0,,0,0,20,,,,,,,,,,
1788592808.2247927,1,CMD,6380,1,FWD_CM:100,,,,,,,,,,,,,
1788592808.228554,1,ENC,6395,1,,2,3,20,,,,,,,,,,
1788592808.2348266,1,STR,6399,1,,,,,0.0,0.0,0.0,0.0,,4028,3800,154,,
1788592808.2434275,1,ENC,6411,1,,15,16,20,,,,,,,,,,
1788592808.251267,1,STR,6415,1,,,,,-0.008,0.0,-1.514,0.008,,4028,3800,154,,
1788592808.263335,1,ENC,6431,1,,24,29,20,,,,,,,,,,
1788592808.271301,1,STR,6435,1,,,,,-0.054,0.0,-4.77,0.054,,4027,3801,154,,
1788592808.2832603,1,ENC,6451,1,,30,39,20,,,,,,,,,,
1788592808.2922566,1,STR,6455,1,,,,,-0.159,0.0,-6.76,0.159,,4024,3804,154,,
1788592808.3031416,1,ENC,6471,1,,35,44,20,,,,,,,,,,
1788592808.3122816,1,STR,6475,1,,,,,-0.349,0.0,-10.379,0.349,,4021,3807,153,,
1788592808.3242705,1,ENC,6491,1,,38,49,20,,,,,,,,,,
