host_time,session_id,record_type,stm_tick_ms,command_id,command,motor_a_delta,motor_b_delta,sample_dt_ms,yaw_deg,target_deg,yaw_rate_dps,turn_error_deg,turn_effort,left_pwm,right_pwm,servo_ccr,turn_phase,fault_code
1788592712.3301072,1,ENC,91911,0,,0,0,20,,,,,,,,,,
1788592712.3499894,1,ENC,91931,0,,0,0,20,,,,,,,,,,
1788592712.369933,1,ENC,91951,0,,0,0,20,,,,,,,,,,
1788592712.388904,1,ENC,91971,0,,0,0,20,,,,,,,,,,
1788592712.4097326,1,ENC,91991,0,,0,0,20,,,,,,,,,,
1788592712.429667,1,ENC,92011,0,,0,0,20,,,,,,,,,,
1788592712.449689,1,ENC,92031,0,,0,0,20,,,,,,,,,,
1788592712.469485,1,ENC,92051,0,,0,0,20,,,,,,,,,,
1788592712.489399,1,ENC,92071,0,,0,0,20,,,,,,,,,,
1788592712.509401,1,ENC,92091,0,,0,0,20,,,,,,,,,,
1788592712.5292363,1,ENC,92111,0,,0,0,20,,,,,,,,,,
1788592712.549156,1,ENC,92131,0,,0,0,20,,,,,,,,,,
1788592712.5681963,1,ENC,92151,0,,0,0,20,,,,,,,,,,
1788592712.5890737,1,ENC,92171,0,,0,0,20,,,,,,,,,,
1788592712.6089363,1,ENC,92191,0,,0,0,20,,,,,,,,,,
1788592712.6288812,1,ENC,92211,0,,0,0,20,,,,,,,,,,
1788592712.6487894,1,ENC,92231,0,,0,0,20,,,,,,,,,,
1788592712.668697,1,ENC,92251,0,,0,0,20,,,,,,,,,,
1788592712.6886175,1,ENC,92271,0,,0,0,20,,,,,,,,,,
1788592712.7085345,1,ENC,92291,0,,0,0,20,,,,,,,,,,
1788592712.7285855,1,ENC,92311,0,,0,0,20,,,,,,,,,,
1788592712.7483659,1,ENC,92331,0,,0,0,20,,,,,,,,,,
1788592712.7673893,1,ENC,92351,0,,0,0,20,,,,,,,,,,
1788592712.7882183,1,ENC,92371,0,,0,0,20,,,,,,,,,,
1788592712.808122,1,ENC,92391,0,,0,0,20,,,,,,,,,,
1788592712.828066,1,ENC,92411,0,,0,0,20,,,,,,,,,,
1788592712.8479717,1,ENC,92431,0,,0,0,20,,,,,,,,,,
1788592712.8680336,1,ENC,92451,0,,0,0,20,,,,,,,,,,
1788592712.8878222,1,ENC,92471,0,,0,0,20,,,,,,,,,,
1788592712.9078262,1,ENC,92491,0,,0,0,20,,,,,,,,,,
1788592712.9276676,1,ENC,92511,0,,0,0,20,,,,,,,,,,
1788592712.9476173,1,ENC,92531,0,,0,0,20,,,,,,,,,,
1788592712.9666662,1,ENC,92551,0,,0,0,20,,,,,,,,,,
1788592712.9874463,1,ENC,92571,0,,0,0,20,,,,,,,,,,
1788592713.0075295,1,ENC,92591,0,,0,0,20,,,,,,,,,,
1788592713.0273397,1,ENC,92611,0,,0,0,20,,,,,,,,,,
1788592713.0472724,1,ENC,92631,0,,0,0,20,,,,,,,,,,
1788592713.0671651,1,ENC,92651,0,,0,0,20,,,,,,,,,,
1788592713.0870948,1,ENC,92671,0,,0,0,20,,,,,,,,,,
